rotogrinders,nba,nba2,official
,,,
Atlanta Hawks,ATL,,ATL
Brooklyn Nets,BKN,,BKN
Boston Celtics,BOS,,BOS
Charlotte Hornets,CHA,,CHA
Chicago Bulls,CHI,,CHI
Cleveland Cavaliers,CLE,,CLE
Dallas Mavericks,DAL,,DAL
Denver Nuggets,DEN,,DEN
Detroit Pistons,DET,,DET
Golden State Warriors,GSW,,GSW
Houston Rockets,HOU,,HOU
Indiana Pacers,IND,,IND
Los Angeles Clippers,LAC,,LAC
Los Angeles Lakers,LAL,,LAL
Memphis Grizzlies,MEM,,MEM
Miami Heat,MIA,,MIA
Minnesota Timberwolves,MIN,,MIN
Milwaukee Bucks,MIL,,MIL
New Orleans Pelicans,NOR,NO,NOR
New York Knicks,NYK,NY,NYK
Oklahoma City Thunder,OKC,,OKC
Orlando Magic,ORL,,ORL
Philadelphia 76ers,PHI,,PHI
Phoenix Suns,PHO,,PHO
Portland Trail Blazers,POR,,POR
San Antonio Spurs,SAS,SA,SAS
Sacramento Kings,SAC,,SAC
Toronto Raptors,TOR,,TOR
Utah Jazz,UTH,,UTH
Washington Wizards,WAS,,WAS
