"Id","Position","First Name","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","",""
"9524","PG","Stephen","Curry","50","8","10700","GS@MIN","GS","MIN","","","",""
"9560","PF","Blake","Griffin","46.8","7","10200","LAC@PHO","LAC","PHO","","","",""
"9623","PG","Chris","Paul","32.6","6","9100","LAC@PHO","LAC","PHO","","","",""
"12355","SG","Eric","Bledsoe","37.9","7","8300","LAC@PHO","PHO","LAC","","","",""
"12363","C","Hassan","Whiteside","36.2","8","8300","UTA@MIA","MIA","UTA","","","",""
"9561","C","DeAndre","Jordan","34.5","7","8000","LAC@PHO","LAC","PHO","","","",""
"9718","PF","Chris","Bosh","35","8","8000","UTA@MIA","MIA","UTA","","","",""
"15860","PF","Draymond","Green","32.2","8","7800","GS@MIN","GS","MIN","","","",""
"12351","PF","Derrick","Favors","32.9","7","7800","UTA@MIA","UTA","MIA","","","",""
"40203","C","Rudy","Gobert","31.8","7","7700","UTA@MIA","UTA","MIA","GTD","Ankle","",""
"14496","PG","Ricky","Rubio","34.4","6","7400","GS@MIN","MIN","GS","GTD","Knee","",""
"49116","SF","Andrew","Wiggins","26.4","6","7200","GS@MIN","MIN","GS","GTD","Knee","",""
"58462","C","Karl-Anthony","Towns","35.3","7","7100","GS@MIN","MIN","GS","","","",""
"9585","SG","Dwyane","Wade","29.1","8","6900","UTA@MIA","MIA","UTA","","","",""
"14509","SG","Klay","Thompson","25.6","8","6800","GS@MIN","GS","MIN","","","",""
"14506","PG","Brandon","Knight","30.5","7","6700","LAC@PHO","PHO","LAC","","","",""
"12366","SF","Gordon","Hayward","24.2","7","6600","UTA@MIA","UTA","MIA","","","",""
"14511","PF","Markieff","Morris","23.4","7","5800","LAC@PHO","PHO","LAC","","","",""
"9473","C","Tyson","Chandler","22.5","7","5700","LAC@PHO","PHO","LAC","","","",""
"40783","SG","Zach","LaVine","19.5","7","5600","GS@MIN","MIN","GS","","","",""
"9673","PG","Goran","Dragic","19.6","8","5600","UTA@MIA","MIA","UTA","","","",""
"14510","SG","Alec","Burks","23.8","7","5500","UTA@MIA","UTA","MIA","","","",""
"9601","C","Andrew","Bogut","25.2","2","5400","GS@MIN","GS","MIN","","","",""
"9479","SF","Luol","Deng","18.6","8","5300","UTA@MIA","MIA","UTA","","","",""
"15843","PG","Trey","Burke","19.5","7","5300","UTA@MIA","UTA","MIA","","","",""
"15946","SF","Harrison","Barnes","23.5","8","5100","GS@MIN","GS","MIN","","","",""
"9694","SG","Kevin","Martin","20.6","6","5000","GS@MIN","MIN","GS","","","",""
"9655","SG","J.J.","Redick","19.4","7","4800","LAC@PHO","LAC","PHO","","","",""
"12459","C","Nikola","Pekovic","23.5","31","4800","GS@MIN","MIN","GS","O","Achilles","",""
"9664","SF","Andre","Iguodala","22.9","8","4700","GS@MIN","GS","MIN","","","",""
"12368","SF","Nemanja","Bjelica","22.8","7","4600","GS@MIN","MIN","GS","","","",""
"15904","SG","Rodney","Hood","21.5","7","4500","UTA@MIA","UTA","MIA","","","",""
"9448","SG","Jamal","Crawford","14.9","7","4400","LAC@PHO","LAC","PHO","","","",""
"16331","C","Festus","Ezeli","22.5","8","4300","GS@MIN","GS","MIN","","","",""
"9698","PF","Jason","Thompson","7.3","4","4300","GS@MIN","GS","MIN","","","",""
"9449","PF","Josh","Smith","13.8","7","4200","LAC@PHO","LAC","PHO","","","",""
"15771","C","Gorgui","Dieng","13.7","7","4100","GS@MIN","MIN","GS","","","",""
"15814","C","Alex","Len","13.7","7","4100","LAC@PHO","PHO","LAC","","","",""
"23407","SF","P.J.","Tucker","12.2","7","4100","LAC@PHO","PHO","LAC","","","",""
"9680","PF","Amar'e","Stoudemire","5.6","1","3900","UTA@MIA","MIA","UTA","GTD","Knee","",""
"12350","PF","Trevor","Booker","12.5","6","3900","UTA@MIA","UTA","MIA","","","",""
"18600","PG","Tyler","Johnson","14.7","7","3800","UTA@MIA","MIA","UTA","","","",""
"23120","SF","T.J.","Warren","15.6","7","3800","LAC@PHO","PHO","LAC","","","",""
"58084","SF","Justise","Winslow","15.6","8","3700","UTA@MIA","MIA","UTA","","","",""
"9674","SG","Leandro","Barbosa","12","8","3700","GS@MIN","GS","MIN","","","",""
"9461","PF","Kevin","Garnett","12.1","6","3700","GS@MIN","MIN","GS","","","",""
"9459","SF","Paul","Pierce","13.2","7","3700","LAC@PHO","LAC","PHO","","","",""
"9778","PF","Josh","McRoberts","8.6","8","3600","UTA@MIA","MIA","UTA","","","",""
"12354","C","Cole","Aldrich","0.5","2","3600","LAC@PHO","LAC","PHO","","","",""
"9849","SG","Gerald","Green","10.6","3","3600","UTA@MIA","MIA","UTA","O","Suspension","",""
"12348","SF","Wesley","Johnson","7.4","7","3600","LAC@PHO","LAC","PHO","","","",""
"15864","PF","Adreian","Payne","9.7","4","3600","GS@MIN","MIN","GS","","","",""
"58081","PG","Tyus","Jones","5.7","1","3500","GS@MIN","MIN","GS","","","",""
"17747","SG","Ian","Clark","7.5","4","3500","GS@MIN","GS","MIN","","","",""
"59318","SF","Joe","Ingles","11.3","7","3500","UTA@MIA","UTA","MIA","","","",""
"23178","PF","Mirza","Teletovic","4.6","7","3500","LAC@PHO","PHO","LAC","","","",""
"16411","SG","C.J.","Wilcox","2.8","21","3500","LAC@PHO","LAC","PHO","","","",""
"12353","C","Tibor","Pleiss","1.6","2","3500","UTA@MIA","UTA","MIA","","","",""
"9513","C","Chris","Andersen","2.9","2","3500","UTA@MIA","MIA","UTA","","","",""
"9518","SF","Tayshaun","Prince","8.9","7","3500","GS@MIN","MIN","GS","","","",""
"14539","PF","Jon","Leuer","14","7","3500","LAC@PHO","PHO","LAC","","","",""
"12369","SG","Lance","Stephenson","12.6","7","3500","LAC@PHO","LAC","PHO","","","",""
"9643","PG","Shaun","Livingston","10.4","8","3500","GS@MIN","GS","MIN","","","",""
"16925","PF","Jarnell","Stokes","1.2","2","3500","UTA@MIA","MIA","UTA","","","",""
"9682","PG","Andre","Miller","2","3","3500","GS@MIN","MIN","GS","","","",""
"15955","PF","James Michael","McAdoo","5.1","7","3500","GS@MIN","GS","MIN","","","",""
"9693","PG","Beno","Udrih","11.7","8","3500","UTA@MIA","MIA","UTA","","","",""
"15475","PF","Cory","Jefferson","8.5","50","3500","LAC@PHO","PHO","LAC","","","",""
"9549","SG","Brandon","Rush","5.6","5","3500","GS@MIN","GS","MIN","","","",""
"9671","PF","Marreese","Speights","12.1","8","3500","GS@MIN","GS","MIN","","","",""
"23717","SF","Shabazz","Muhammad","9.6","7","3500","GS@MIN","MIN","GS","","","",""
"15858","PF","Branden","Dawson","0","0","3500","LAC@PHO","LAC","PHO","","","",""
